AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
<1|30.0|42.0|35.7|141|III CNS and misc intracranial and intraspinal neoplasms|3954725|2014
1-4|4.4|6.7|5.5|87|III(a) Ependymomas and choroid plexus tumor|15916093|2014
10-14|1.2|2.4|1.7|35|III(a) Ependymomas and choroid plexus tumor|20669496|2014
15-19|1.0|2.0|1.4|30|III(a) Ependymomas and choroid plexus tumor|21060374|2014
5-9|2.0|3.5|2.7|55|III(a) Ependymomas and choroid plexus tumor|20515383|2014
<1|3.3|8.1|5.3|21|III(a) Ependymomas and choroid plexus tumor|3954725|2014
1-4|20.7|25.5|23.0|366|III(b) Astrocytomas|15916093|2014
10-14|15.6|19.2|17.3|358|III(b) Astrocytomas|20669496|2014
15-19|12.8|16.1|14.3|302|III(b) Astrocytomas|21060374|2014
5-9|15.8|19.5|17.5|360|III(b) Astrocytomas|20515383|2014
<1|8.5|15.5|11.6|46|III(b) Astrocytomas|3954725|2014
1-4|7.6|10.7|9.0|144|III(c) Intracranial and intraspinal embryonal tumors|15916093|2014
10-14|3.6|5.5|4.5|93|III(c) Intracranial and intraspinal embryonal tumors|20669496|2014
15-19|1.5|2.8|2.1|44|III(c) Intracranial and intraspinal embryonal tumors|21060374|2014
5-9|6.6|9.1|7.8|159|III(c) Intracranial and intraspinal embryonal tumors|20515383|2014
<1|9.8|17.2|13.1|52|III(c) Intracranial and intraspinal embryonal tumors|3954725|2014
1-4|4.3|6.7|5.4|86|III(d) Other gliomas|15916093|2014
10-14|4.2|6.3|5.2|107|III(d) Other gliomas|20669496|2014
15-19|3.6|5.4|4.4|93|III(d) Other gliomas|21060374|2014
5-9|5.8|8.1|6.9|141|III(d) Other gliomas|20515383|2014
<1|~|~|~|~|III(d) Other gliomas|3954725|2014
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15916093|2014
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20669496|2014
15-19|0.5|1.4|0.9|18|III(e) Other specified intracranial & intraspinal neoplasms|21060374|2014
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20515383|2014
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3954725|2014
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15916093|2014
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20669496|2014
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21060374|2014
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20515383|2014
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3954725|2014
1-4|18.9|23.5|21.1|336|IV Neuroblastoma and other peripheral nervous cell tumors|15916093|2014
10-14|1.3|2.5|1.8|38|IV Neuroblastoma and other peripheral nervous cell tumors|20669496|2014
15-19|0.8|1.8|1.2|25|IV Neuroblastoma and other peripheral nervous cell tumors|21060374|2014
5-9|3.7|5.7|4.6|95|IV Neuroblastoma and other peripheral nervous cell tumors|20515383|2014
<1|59.4|75.8|67.3|266|IV Neuroblastoma and other peripheral nervous cell tumors|3954725|2014
1-4|18.9|23.4|21.0|335|IV(a) Neuroblastoma and ganglioneuroblastoma|15916093|2014
10-14|0.9|2.0|1.4|28|IV(a) Neuroblastoma and ganglioneuroblastoma|20669496|2014
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|21060374|2014
5-9|3.7|5.6|4.5|93|IV(a) Neuroblastoma and ganglioneuroblastoma|20515383|2014
<1|59.4|75.8|67.3|266|IV(a) Neuroblastoma and ganglioneuroblastoma|3954725|2014
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|15916093|2014
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20669496|2014
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|21060374|2014
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|20515383|2014
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3954725|2014
1-4|10.2|13.6|11.8|188|IX Soft tissue and other extraosseous sarcomas|15916093|2014
10-14|10.6|13.6|12.0|249|IX Soft tissue and other extraosseous sarcomas|20669496|2014
15-19|14.1|17.6|15.8|332|IX Soft tissue and other extraosseous sarcomas|21060374|2014
5-9|7.6|10.3|8.9|182|IX Soft tissue and other extraosseous sarcomas|20515383|2014
<1|12.2|20.4|15.9|63|IX Soft tissue and other extraosseous sarcomas|3954725|2014
1-4|6.8|9.6|8.1|129|IX(a) Rhabdomyosarcomas|15916093|2014
10-14|2.3|3.9|3.0|63|IX(a) Rhabdomyosarcomas|20669496|2014
15-19|2.0|3.5|2.7|57|IX(a) Rhabdomyosarcomas|21060374|2014
5-9|3.5|5.3|4.3|89|IX(a) Rhabdomyosarcomas|20515383|2014
<1|3.3|8.1|5.3|21|IX(a) Rhabdomyosarcomas|3954725|2014
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|15916093|2014
10-14|0.7|1.7|1.2|24|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20669496|2014
15-19|1.8|3.1|2.4|50|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|21060374|2014
5-9|0.5|1.3|0.8|17|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|20515383|2014
<1|3.3|8.1|5.3|21|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3954725|2014
1-4|~|~|~|~|IX(c) Kaposi sarcoma|15916093|2014
10-14|~|~|~|~|IX(c) Kaposi sarcoma|20669496|2014
15-19|~|~|~|~|IX(c) Kaposi sarcoma|21060374|2014
5-9|~|~|~|~|IX(c) Kaposi sarcoma|20515383|2014
<1|~|~|~|~|IX(c) Kaposi sarcoma|3954725|2014
1-4|1.6|3.1|2.3|36|IX(d) Other specified soft tissue sarcomas|15916093|2014
10-14|4.9|7.0|5.9|121|IX(d) Other specified soft tissue sarcomas|20669496|2014
15-19|7.3|9.8|8.5|179|IX(d) Other specified soft tissue sarcomas|21060374|2014
5-9|2.2|3.7|2.9|59|IX(d) Other specified soft tissue sarcomas|20515383|2014
<1|2.7|7.2|4.6|18|IX(d) Other specified soft tissue sarcomas|3954725|2014
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|15916093|2014
10-14|1.4|2.7|2.0|41|IX(e) Unspecified soft tissue sarcomas|20669496|2014
15-19|1.4|2.7|2.0|42|IX(e) Unspecified soft tissue sarcomas|21060374|2014
5-9|0.5|1.3|0.8|17|IX(e) Unspecified soft tissue sarcomas|20515383|2014
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3954725|2014
1-4|~|~|~|~|Not classified by ICCC|15916093|2014
10-14|~|~|~|~|Not classified by ICCC|20669496|2014
15-19|~|~|~|~|Not classified by ICCC|21060374|2014
5-9|~|~|~|~|Not classified by ICCC|20515383|2014
<1|~|~|~|~|Not classified by ICCC|3954725|2014
1-4|7.4|10.4|8.8|140|V Retinoblastoma|15916093|2014
10-14|~|~|~|~|V Retinoblastoma|20669496|2014
15-19|~|~|~|~|V Retinoblastoma|21060374|2014
5-9|~|~|~|~|V Retinoblastoma|20515383|2014
<1|24.5|35.5|29.6|117|V Retinoblastoma|3954725|2014
1-4|18.2|22.7|20.4|324|VI Renal tumors|15916093|2014
10-14|1.0|2.1|1.5|31|VI Renal tumors|20669496|2014
15-19|1.3|2.5|1.8|38|VI Renal tumors|21060374|2014
5-9|5.7|7.9|6.7|138|VI Renal tumors|20515383|2014
<1|13.8|22.4|17.7|70|VI Renal tumors|3954725|2014
1-4|18.0|22.5|20.2|321|VI(a) Nephroblastoma and other nonepithelial renal tumors|15916093|2014
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|20669496|2014
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|21060374|2014
5-9|5.4|7.6|6.4|132|VI(a) Nephroblastoma and other nonepithelial renal tumors|20515383|2014
<1|13.8|22.4|17.7|70|VI(a) Nephroblastoma and other nonepithelial renal tumors|3954725|2014
1-4|~|~|~|~|VI(b) Renal carcinomas|15916093|2014
10-14|0.6|1.4|0.9|19|VI(b) Renal carcinomas|20669496|2014
15-19|0.8|1.9|1.3|27|VI(b) Renal carcinomas|21060374|2014
5-9|~|~|~|~|VI(b) Renal carcinomas|20515383|2014
<1|~|~|~|~|VI(b) Renal carcinomas|3954725|2014
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|15916093|2014
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|20669496|2014
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|21060374|2014
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|20515383|2014
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3954725|2014
1-4|4.7|7.2|5.8|93|VII Hepatic tumors|15916093|2014
10-14|0.5|1.4|0.9|18|VII Hepatic tumors|20669496|2014
15-19|0.7|1.6|1.0|22|VII Hepatic tumors|21060374|2014
5-9|0.5|1.4|0.9|18|VII Hepatic tumors|20515383|2014
<1|10.9|18.7|14.4|57|VII Hepatic tumors|3954725|2014
1-4|4.7|7.1|5.8|92|VII(a) Hepatoblastoma|15916093|2014
10-14|~|~|~|~|VII(a) Hepatoblastoma|20669496|2014
15-19|~|~|~|~|VII(a) Hepatoblastoma|21060374|2014
5-9|~|~|~|~|VII(a) Hepatoblastoma|20515383|2014
<1|10.5|18.1|13.9|55|VII(a) Hepatoblastoma|3954725|2014
1-4|~|~|~|~|VII(b) Hepatic carcinomas|15916093|2014
10-14|~|~|~|~|VII(b) Hepatic carcinomas|20669496|2014
15-19|0.6|1.5|1.0|21|VII(b) Hepatic carcinomas|21060374|2014
5-9|~|~|~|~|VII(b) Hepatic carcinomas|20515383|2014
<1|~|~|~|~|VII(b) Hepatic carcinomas|3954725|2014
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|15916093|2014
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20669496|2014
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|21060374|2014
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|20515383|2014
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3954725|2014
1-4|1.3|2.8|1.9|31|VIII Malignant bone tumors|15916093|2014
10-14|13.8|17.3|15.5|320|VIII Malignant bone tumors|20669496|2014
15-19|12.3|15.5|13.8|291|VIII Malignant bone tumors|21060374|2014
5-9|5.5|7.7|6.5|134|VIII Malignant bone tumors|20515383|2014
<1|~|~|~|~|VIII Malignant bone tumors|3954725|2014
1-4|~|~|~|~|VIII(a) Osteosarcomas|15916093|2014
10-14|8.2|10.9|9.5|196|VIII(a) Osteosarcomas|20669496|2014
15-19|6.6|9.0|7.7|163|VIII(a) Osteosarcomas|21060374|2014
5-9|2.6|4.2|3.3|68|VIII(a) Osteosarcomas|20515383|2014
<1|~|~|~|~|VIII(a) Osteosarcomas|3954725|2014
1-4|~|~|~|~|VIII(b) Chondrosarcomas|15916093|2014
10-14|~|~|~|~|VIII(b) Chondrosarcomas|20669496|2014
15-19|0.5|1.3|0.8|17|VIII(b) Chondrosarcomas|21060374|2014
5-9|~|~|~|~|VIII(b) Chondrosarcomas|20515383|2014
<1|~|~|~|~|VIII(b) Chondrosarcomas|3954725|2014
1-4|0.8|1.9|1.3|20|VIII(c) Ewing tumor and related sarcomas of bone|15916093|2014
10-14|3.5|5.4|4.4|91|VIII(c) Ewing tumor and related sarcomas of bone|20669496|2014
15-19|3.1|4.9|3.9|83|VIII(c) Ewing tumor and related sarcomas of bone|21060374|2014
5-9|2.1|3.6|2.8|57|VIII(c) Ewing tumor and related sarcomas of bone|20515383|2014
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3954725|2014
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|15916093|2014
10-14|0.5|1.3|0.8|17|VIII(d) Other specified malignant bone tumors|20669496|2014
15-19|0.4|1.2|0.8|16|VIII(d) Other specified malignant bone tumors|21060374|2014
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|20515383|2014
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3954725|2014
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|15916093|2014
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20669496|2014
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|21060374|2014
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|20515383|2014
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3954725|2014
1-4|2.3|4.1|3.1|49|X Germ cell, trophoblastic tumors & neoplasms of gonads|15916093|2014
10-14|6.5|9.0|7.7|159|X Germ cell, trophoblastic tumors & neoplasms of gonads|20669496|2014
15-19|25.4|29.9|27.6|581|X Germ cell, trophoblastic tumors & neoplasms of gonads|21060374|2014
5-9|2.0|3.5|2.7|55|X Germ cell, trophoblastic tumors & neoplasms of gonads|20515383|2014
<1|18.1|27.7|22.5|89|X Germ cell, trophoblastic tumors & neoplasms of gonads|3954725|2014
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|15916093|2014
10-14|2.0|3.4|2.6|54|X(a) Intracranial & intraspinal germ cell tumors|20669496|2014
15-19|1.6|3.0|2.2|47|X(a) Intracranial & intraspinal germ cell tumors|21060374|2014
5-9|0.8|1.8|1.2|25|X(a) Intracranial & intraspinal germ cell tumors|20515383|2014
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3954725|2014
1-4|1.1|2.5|1.7|27|X(b) Malignant extracranial & extragonadal germ cell tumors|15916093|2014
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20669496|2014
15-19|1.2|2.4|1.8|37|X(b) Malignant extracranial & extragonadal germ cell tumors|21060374|2014
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|20515383|2014
<1|12.5|20.7|16.2|64|X(b) Malignant extracranial & extragonadal germ cell tumors|3954725|2014
1-4|0.6|1.7|1.1|17|X(c) Malignant gonadal germ cell tumors|15916093|2014
10-14|3.2|5.0|4.1|84|X(c) Malignant gonadal germ cell tumors|20669496|2014
15-19|19.2|23.1|21.1|444|X(c) Malignant gonadal germ cell tumors|21060374|2014
5-9|0.6|1.6|1.0|21|X(c) Malignant gonadal germ cell tumors|20515383|2014
<1|~|~|~|~|X(c) Malignant gonadal germ cell tumors|3954725|2014
1-4|~|~|~|~|X(d) Gonadal carcinomas|15916093|2014
10-14|~|~|~|~|X(d) Gonadal carcinomas|20669496|2014
15-19|1.1|2.3|1.6|34|X(d) Gonadal carcinomas|21060374|2014
5-9|~|~|~|~|X(d) Gonadal carcinomas|20515383|2014
<1|~|~|~|~|X(d) Gonadal carcinomas|3954725|2014
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|15916093|2014
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20669496|2014
15-19|0.5|1.4|0.9|19|X(e) Other and unspecified malignant gonadal tumors|21060374|2014
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|20515383|2014
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3954725|2014
1-4|1.8|3.5|2.6|41|XI Other malignant epithelial neoplasms and malignant melanomas|15916093|2014
10-14|17.3|21.1|19.2|396|XI Other malignant epithelial neoplasms and malignant melanomas|20669496|2014
15-19|54.4|60.9|57.5|1212|XI Other malignant epithelial neoplasms and malignant melanomas|21060374|2014
5-9|4.1|6.1|5.1|104|XI Other malignant epithelial neoplasms and malignant melanomas|20515383|2014
<1|4.3|9.6|6.6|26|XI Other malignant epithelial neoplasms and malignant melanomas|3954725|2014
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|15916093|2014
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|20669496|2014
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|21060374|2014
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|20515383|2014
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3954725|2014
1-4|~|~|~|~|XI(b) Thyroid carcinomas|15916093|2014
10-14|7.9|10.6|9.2|190|XI(b) Thyroid carcinomas|20669496|2014
15-19|28.4|33.1|30.7|646|XI(b) Thyroid carcinomas|21060374|2014
5-9|1.3|2.5|1.8|37|XI(b) Thyroid carcinomas|20515383|2014
<1|~|~|~|~|XI(b) Thyroid carcinomas|3954725|2014
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|15916093|2014
10-14|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20669496|2014
15-19|0.7|1.6|1.0|22|XI(c) Nasopharyngeal carcinomas|21060374|2014
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|20515383|2014
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3954725|2014
1-4|1.2|2.5|1.8|28|XI(d) Malignant melanomas|15916093|2014
10-14|2.1|3.6|2.8|58|XI(d) Malignant melanomas|20669496|2014
15-19|8.6|11.3|9.9|208|XI(d) Malignant melanomas|21060374|2014
5-9|1.4|2.7|1.9|40|XI(d) Malignant melanomas|20515383|2014
<1|~|~|~|~|XI(d) Malignant melanomas|3954725|2014
1-4|~|~|~|~|XI(e) Skin carcinomas|15916093|2014
10-14|~|~|~|~|XI(e) Skin carcinomas|20669496|2014
15-19|~|~|~|~|XI(e) Skin carcinomas|21060374|2014
5-9|~|~|~|~|XI(e) Skin carcinomas|20515383|2014
<1|~|~|~|~|XI(e) Skin carcinomas|3954725|2014
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|15916093|2014
10-14|5.6|7.8|6.6|137|XI(f) Other and unspecified carcinomas|20669496|2014
15-19|13.9|17.3|15.5|327|XI(f) Other and unspecified carcinomas|21060374|2014
5-9|0.6|1.6|1.0|21|XI(f) Other and unspecified carcinomas|20515383|2014
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3954725|2014
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|15916093|2014
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|20669496|2014
15-19|~|~|~|~|XII Other and unspecified malignant neoplasms|21060374|2014
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|20515383|2014
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3954725|2014
1-4|~|~|~|~|XII(a) Other specified malignant tumors|15916093|2014
10-14|~|~|~|~|XII(a) Other specified malignant tumors|20669496|2014
15-19|~|~|~|~|XII(a) Other specified malignant tumors|21060374|2014
5-9|~|~|~|~|XII(a) Other specified malignant tumors|20515383|2014
<1|~|~|~|~|XII(a) Other specified malignant tumors|3954725|2014
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|15916093|2014
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|20669496|2014
15-19|~|~|~|~|XII(b) Other unspecified malignant tumors|21060374|2014
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|20515383|2014
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3954725|2014
1-4|225.8|240.9|233.2|3716|All ICCC Groups Combined|15931436|2015
10-14|147.2|157.9|152.5|3143|All ICCC Groups Combined|20610350|2015
15-19|238.7|252.2|245.4|5176|All ICCC Groups Combined|21094434|2015
5-9|131.2|141.4|136.2|2789|All ICCC Groups Combined|20475944|2015
<1|278.0|312.0|294.7|1174|All ICCC Groups Combined|3984294|2015
1-4|90.3|99.9|95.0|1514|I Leukemias, myeloproliferative & myelodysplastic diseases|15931436|2015
10-14|31.1|36.2|33.6|692|I Leukemias, myeloproliferative & myelodysplastic diseases|20610350|2015
15-19|34.3|39.5|36.8|777|I Leukemias, myeloproliferative & myelodysplastic diseases|21094434|2015
5-9|41.0|46.8|43.8|897|I Leukemias, myeloproliferative & myelodysplastic diseases|20475944|2015
<1|48.9|63.8|56.0|223|I Leukemias, myeloproliferative & myelodysplastic diseases|3984294|2015
1-4|74.6|83.4|78.9|1257|I(a) Lymphoid leukemias|15931436|2015
10-14|20.0|24.0|21.9|452|I(a) Lymphoid leukemias|20610350|2015
15-19|17.3|21.1|19.2|404|I(a) Lymphoid leukemias|21094434|2015
5-9|33.3|38.5|35.8|734|I(a) Lymphoid leukemias|20475944|2015
<1|13.9|22.5|17.8|71|I(a) Lymphoid leukemias|3984294|2015
1-4|8.9|12.1|10.4|166|I(b) Acute myeloid leukemias|15931436|2015
10-14|6.0|8.4|7.1|147|I(b) Acute myeloid leukemias|20610350|2015
15-19|8.3|11.0|9.6|203|I(b) Acute myeloid leukemias|21094434|2015
5-9|3.8|5.7|4.7|96|I(b) Acute myeloid leukemias|20475944|2015
<1|14.6|23.3|18.6|74|I(b) Acute myeloid leukemias|3984294|2015
1-4|1.0|2.3|1.6|25|I(c) Chronic myeloproliferative diseases|15931436|2015
10-14|1.3|2.5|1.8|37|I(c) Chronic myeloproliferative diseases|20610350|2015
15-19|4.1|6.0|5.0|105|I(c) Chronic myeloproliferative diseases|21094434|2015
5-9|0.7|1.7|1.1|23|I(c) Chronic myeloproliferative diseases|20475944|2015
<1|5.9|11.9|8.5|34|I(c) Chronic myeloproliferative diseases|3984294|2015
1-4|0.9|2.2|1.4|23|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|15931436|2015
10-14|0.8|1.8|1.2|25|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20610350|2015
15-19|0.8|1.9|1.3|27|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|21094434|2015
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|20475944|2015
<1|4.9|10.5|7.3|29|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|3984294|2015
1-4|2.0|3.6|2.7|43|I(e) Unspecified and other specified leukemias|15931436|2015
10-14|1.0|2.1|1.5|31|I(e) Unspecified and other specified leukemias|20610350|2015
15-19|1.3|2.5|1.8|38|I(e) Unspecified and other specified leukemias|21094434|2015
5-9|1.0|2.1|1.5|31|I(e) Unspecified and other specified leukemias|20475944|2015
<1|~|~|~|~|I(e) Unspecified and other specified leukemias|3984294|2015
1-4|14.9|19.0|16.8|268|II Lymphomas and reticuloendothelial neoplasms|15931436|2015
10-14|28.3|33.2|30.7|632|II Lymphomas and reticuloendothelial neoplasms|20610350|2015
15-19|50.5|56.8|53.6|1130|II Lymphomas and reticuloendothelial neoplasms|21094434|2015
5-9|18.2|22.2|20.1|412|II Lymphomas and reticuloendothelial neoplasms|20475944|2015
<1|18.6|28.3|23.1|92|II Lymphomas and reticuloendothelial neoplasms|3984294|2015
1-4|~|~|~|~|II(a) Hodgkin lymphomas|15931436|2015
10-14|11.4|14.6|12.9|266|II(a) Hodgkin lymphomas|20610350|2015
15-19|29.1|33.9|31.4|663|II(a) Hodgkin lymphomas|21094434|2015
5-9|3.1|4.9|3.9|80|II(a) Hodgkin lymphomas|20475944|2015
<1|~|~|~|~|II(a) Hodgkin lymphomas|3984294|2015
1-4|3.8|6.0|4.8|77|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|15931436|2015
10-14|8.7|11.5|10.0|206|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20610350|2015
15-19|15.5|19.1|17.3|364|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|21094434|2015
5-9|6.7|9.2|7.9|161|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|20475944|2015
<1|~|~|~|~|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|3984294|2015
1-4|1.5|3.1|2.2|35|II(c) Burkitt lymphoma|15931436|2015
10-14|2.1|3.5|2.7|56|II(c) Burkitt lymphoma|20610350|2015
15-19|1.6|3.0|2.2|47|II(c) Burkitt lymphoma|21094434|2015
5-9|2.4|3.9|3.1|63|II(c) Burkitt lymphoma|20475944|2015
<1|~|~|~|~|II(c) Burkitt lymphoma|3984294|2015
1-4|7.4|10.4|8.9|141|II(d) Miscellaneous lymphoreticular neoplasms|15931436|2015
10-14|3.6|5.5|4.5|93|II(d) Miscellaneous lymphoreticular neoplasms|20610350|2015
15-19|1.3|2.5|1.8|38|II(d) Miscellaneous lymphoreticular neoplasms|21094434|2015
5-9|4.2|6.2|5.1|104|II(d) Miscellaneous lymphoreticular neoplasms|20475944|2015
<1|17.0|26.4|21.3|85|II(d) Miscellaneous lymphoreticular neoplasms|3984294|2015
1-4|~|~|~|~|II(e) Unspecified lymphomas|15931436|2015
10-14|~|~|~|~|II(e) Unspecified lymphomas|20610350|2015
15-19|0.5|1.3|0.9|18|II(e) Unspecified lymphomas|21094434|2015
5-9|~|~|~|~|II(e) Unspecified lymphomas|20475944|2015
<1|~|~|~|~|II(e) Unspecified lymphomas|3984294|2015
1-4|39.7|46.1|42.8|682|III CNS and misc intracranial and intraspinal neoplasms|15931436|2015
10-14|24.4|28.9|26.5|547|III CNS and misc intracranial and intraspinal neoplasms|20610350|2015
15-19|21.4|25.6|23.5|495|III CNS and misc intracranial and intraspinal neoplasms|21094434|2015
5-9|34.5|39.9|37.1|760|III CNS and misc intracranial and intraspinal neoplasms|20475944|2015
<1|28.4|40.1|33.9|135|III CNS and misc intracranial and intraspinal neoplasms|3984294|2015
1-4|3.4|5.6|4.4|70|III(a) Ependymomas and choroid plexus tumor|15931436|2015
10-14|1.6|2.9|2.1|44|III(a) Ependymomas and choroid plexus tumor|20610350|2015
15-19|1.2|2.4|1.7|36|III(a) Ependymomas and choroid plexus tumor|21094434|2015
5-9|1.8|3.2|2.4|49|III(a) Ependymomas and choroid plexus tumor|20475944|2015
<1|4.1|9.3|6.3|25|III(a) Ependymomas and choroid plexus tumor|3984294|2015
1-4|19.6|24.3|21.8|348|III(b) Astrocytomas|15931436|2015
10-14|13.1|16.5|14.7|304|III(b) Astrocytomas|20610350|2015
15-19|10.5|13.5|11.9|252|III(b) Astrocytomas|21094434|2015
5-9|16.6|20.4|18.5|378|III(b) Astrocytomas|20475944|2015
<1|8.9|16.0|12.0|48|III(b) Astrocytomas|3984294|2015
1-4|9.1|12.4|10.7|170|III(c) Intracranial and intraspinal embryonal tumors|15931436|2015
10-14|2.4|4.0|3.2|65|III(c) Intracranial and intraspinal embryonal tumors|20610350|2015
15-19|1.8|3.2|2.5|52|III(c) Intracranial and intraspinal embryonal tumors|21094434|2015
5-9|6.8|9.3|8.0|163|III(c) Intracranial and intraspinal embryonal tumors|20475944|2015
<1|8.2|15.1|11.3|45|III(c) Intracranial and intraspinal embryonal tumors|3984294|2015
1-4|3.7|5.9|4.7|75|III(d) Other gliomas|15931436|2015
10-14|4.3|6.4|5.3|109|III(d) Other gliomas|20610350|2015
15-19|4.7|6.8|5.7|120|III(d) Other gliomas|21094434|2015
5-9|6.2|8.6|7.4|151|III(d) Other gliomas|20475944|2015
<1|~|~|~|~|III(d) Other gliomas|3984294|2015
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|15931436|2015
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20610350|2015
15-19|0.7|1.7|1.1|24|III(e) Other specified intracranial & intraspinal neoplasms|21094434|2015
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|20475944|2015
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3984294|2015
1-4|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|15931436|2015
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|20610350|2015
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|21094434|2015
